# this file contains a list of managed resources. 
# data is whitespace-separated, with the following columns:
# 0: site alias
# 1: CE endpoint
# 2: SW prefix (optional)
# 3: version of pkgsrc (CVS tag)
# 4: timestamp of last poll
# 5: timestamp of last update
HTC-BIGGRID     deimos.htc.biggrid.nl:2119/jobmanager-pbs-medium
LSG-AMC         gb-ce-amc.amc.nl:8443/cream-pbs-medium
LSG-KUN         gb-ce-kun.els.sara.nl:8443/cream-pbs-medium
LSG-LUMC        gb-ce-lumc.lumc.nl:8443/cream-pbs-medium
LSG-NKI         gb-ce-nki.els.sara.nl:8443/cream-pbs-medium
LSG-UU          gb-ce-uu.science.uu.nl:8443/cream-pbs-medium
LSG-WUR         gb-ce-wur.els.sara.nl:8443/cream-pbs-medium
NIKHEF-ELPROD   gazon.nikhef.nl:2119/jobmanager-pbs-medium
RUG-CIT         ce.grid.rug.nl:2119/jobmanager-pbs-medium
SARA-MATRIX     ce.gina.sara.nl:2119/jobmanager-lcgpbs-medium
